"","CellNumbers","CellLifetime","CellFate"
"1",1,45.6666666666667,1
"2",2,22,1
"3",3,18.3333333333333,1
"4",4,20.6666666666667,1
"5",5,15.6666666666667,1
"6",6,20.6666666666667,1
"7",7,20,1
"8",8,49.6666666666667,1
"9",9,12.6666666666667,1
"10",10,24,1
"11",11,21.3333333333333,1
"12",12,23.3333333333333,1
"13",13,24.3333333333333,1
"14",14,23.6666666666667,1
"15",15,23.6666666666667,1
"16",16,4.66666666666667,0
"17",17,3,2
"18",18,2.66666666666667,0
"19",19,2.33333333333333,0
"20",20,2.66666666666667,0
"21",21,1.66666666666667,0
"22",22,2,0
"23",23,2.33333333333333,0
"24",24,1.66666666666667,0
"25",25,2,0
"26",26,1,0
"27",28,2.66666666666667,0
"28",29,1.66666666666667,0
"29",30,2,0
"30",31,3.33333333333333,0
