"","CellNumbers","CellLifetime","CellFate"
"1",1,35.3333333333333,1
"2",2,23.3333333333333,1
"3",3,24.6666666666667,1
"4",4,35.6666666666667,1
"5",5,31,1
"6",6,56.6666666666667,1
"7",7,33.6666666666667,1
"8",8,33.3333333333333,1
"9",9,30,1
"10",10,28.3333333333333,1
"11",11,19,1
"12",12,3.66666666666667,0
"13",13,2,0
"14",14,33.6666666666667,1
"15",15,28,1
"16",16,7,0
"17",17,1.66666666666667,0
"18",18,1.33333333333333,0
"19",19,1.33333333333333,0
"20",20,2.33333333333333,0
"21",21,0.333333333333333,0
"22",22,2,0
"23",23,1.66666666666667,0
"24",28,1.33333333333333,0
"25",29,1.33333333333333,0
"26",30,1.66666666666667,0
"27",31,2,0
