"","CellNumbers","CellLifetime","CellFate"
"1",1,57.3333333333333,1
"2",2,23.6666666666667,1
"3",3,37.6666666666667,1
"4",4,26.3333333333333,1
"5",5,19.3333333333333,1
"6",6,41,2
"7",7,29.3333333333333,2
"8",8,19,1
"9",9,19.3333333333333,1
"10",10,14.6666666666667,1
"11",11,15,1
"12",16,16.6666666666667,1
"13",17,16.3333333333333,1
"14",18,16.6666666666667,1
"15",19,19.6666666666667,1
"16",20,15.6666666666667,1
"17",21,16.6666666666667,1
"18",22,15,1
"19",23,24.6666666666667,1
"20",32,1.66666666666667,0
"21",33,4,0
"22",34,1.33333333333333,0
"23",35,1.66666666666667,0
"24",36,2.33333333333333,0
"25",37,2,0
"26",38,2,0
"27",39,2,0
"28",40,1.66666666666667,0
"29",41,2,0
"30",42,1.66666666666667,0
"31",43,2,0
"32",44,2.33333333333333,0
"33",45,2.66666666666667,0
"34",46,1.66666666666667,0
"35",47,1.66666666666667,0
