"","CellNumbers","CellLifetime","CellFate"
"1",1,49,1
"2",2,23.3333333333333,1
"3",3,24,1
"4",4,21.3333333333333,1
"5",5,21.6666666666667,1
"6",6,20.6666666666667,1
"7",7,20.6666666666667,1
"8",8,17,1
"9",9,16.6666666666667,1
"10",10,23.3333333333333,1
"11",11,23.6666666666667,1
"12",12,28.6666666666667,1
"13",13,25.3333333333333,1
"14",14,23.3333333333333,1
"15",15,20.3333333333333,1
"16",16,16.3333333333333,1
"17",17,16,1
"18",18,16.3333333333333,1
"19",19,16.6666666666667,1
"20",20,9,0
"21",21,3.66666666666667,0
"22",22,2,0
"23",23,2.33333333333333,0
"24",24,1.66666666666667,0
"25",25,1.33333333333333,0
"26",26,1.66666666666667,0
"27",27,1,0
"28",28,1.66666666666667,0
"29",29,1.66666666666667,0
"30",30,2.66666666666667,0
"31",31,2.66666666666667,0
"32",32,1.66666666666667,0
"33",33,0.333333333333333,0
"34",34,1.66666666666667,0
"35",35,0.666666666666667,0
"36",36,6.33333333333333,0
"37",37,1.33333333333333,0
"38",38,1,0
"39",39,1,0
