"","CellNumbers","CellLifetime","CellFate"
"1",1,42,1
"2",2,23.3333333333333,1
"3",3,25.6666666666667,1
"4",4,28,1
"5",5,31.6666666666667,1
"6",6,28.6666666666667,1
"7",7,28.6666666666667,1
"8",8,29,1
"9",9,31.6666666666667,2
"10",10,12.6666666666667,2
"11",11,12,2
"12",12,35.6666666666667,1
"13",13,51,1
"14",14,33.3333333333333,1
"15",15,27,1
"16",16,30.6666666666667,1
"17",17,5.66666666666667,2
"18",24,16,0
"19",25,18,2
"20",26,1.33333333333333,0
"21",27,1.33333333333333,0
"22",28,19,0
"23",29,9.33333333333333,2
"24",30,25,1
"25",31,28.6666666666667,1
"26",32,1.66666666666667,0
"27",33,0.666666666666667,0
"28",60,1,0
"29",61,1,0
"30",62,1,0
"31",63,1.33333333333333,0
