"","CellNumbers","CellLifetime","CellFate"
"1",1,57.6666666666667,1
"2",2,29.3333333333333,1
"3",3,31,1
"4",4,23.6666666666667,1
"5",5,24,1
"6",6,26.6666666666667,1
"7",7,48.6666666666667,1
"8",8,10,2
"9",9,23.3333333333333,2
"10",10,14.6666666666667,1
"11",11,15.3333333333333,1
"12",12,20.3333333333333,1
"13",13,19.6666666666667,1
"14",14,24.6666666666667,1
"15",15,21,1
"16",20,17.3333333333333,1
"17",21,15,1
"18",22,17,1
"19",23,18.3333333333333,1
"20",24,1.66666666666667,0
"21",25,1.66666666666667,0
"22",26,9.33333333333333,0
"23",27,1.33333333333333,0
"24",28,2,0
"25",29,1.33333333333333,0
"26",30,1.33333333333333,0
"27",31,1.33333333333333,0
"28",40,1.33333333333333,0
"29",41,1.33333333333333,0
"30",42,1,0
"31",43,1.33333333333333,0
"32",44,1,0
"33",45,0.666666666666667,0
"34",46,1,0
"35",47,0.666666666666667,0
