"","CellNumbers","CellLifetime","CellFate"
"1",1,63.6666666666667,1
"2",2,22.6666666666667,1
"3",3,20.3333333333333,1
"4",4,22,1
"5",5,21.3333333333333,1
"6",6,32,1
"7",7,30.6666666666667,1
"8",8,25,1
"9",9,53.3333333333333,1
"10",10,57.3333333333333,0
"11",11,30.3333333333333,1
"12",12,37.3333333333333,1
"13",13,34,1
"14",14,28,2
"15",15,43.3333333333333,1
"16",16,24.3333333333333,1
"17",17,31.6666666666667,0
"18",18,3.33333333333333,0
"19",19,3.33333333333333,0
"20",22,27,0
"21",23,27,0
"22",24,11.6666666666667,0
"23",25,11.6666666666667,0
"24",26,15,0
"25",27,15,0
"26",30,7,0
"27",31,7,0
"28",32,7.33333333333333,0
"29",33,7.33333333333333,0
