"","CellNumbers","CellLifetime","CellFate"
"1",1,57.6666666666667,1
"2",2,22.6666666666667,1
"3",3,19,1
"4",4,16.6666666666667,1
"5",5,20.3333333333333,1
"6",6,26.3333333333333,1
"7",7,23,1
"8",8,23.6666666666667,1
"9",9,23,1
"10",10,17.3333333333333,1
"11",11,41.3333333333333,0
"12",12,27,1
"13",13,28.6666666666667,1
"14",14,22.6666666666667,1
"15",15,38.6666666666667,1
"16",16,1,0
"17",17,1.33333333333333,0
"18",18,1,0
"19",19,1.33333333333333,0
"20",20,1,0
"21",21,1.33333333333333,0
"22",24,1,0
"23",25,1,0
"24",26,1.33333333333333,0
"25",27,1.33333333333333,0
"26",28,0.666666666666667,0
"27",29,1,0
"28",30,1.66666666666667,0
"29",31,2.33333333333333,0
