"","CellNumbers","CellLifetime","CellFate"
"1",1,13,1
"2",2,40,1
"3",3,66,1
"4",4,17.6666666666667,1
"5",5,26.3333333333333,1
"6",6,15.6666666666667,2
"7",7,20,1
"8",8,19,1
"9",9,15.3333333333333,1
"10",10,20.3333333333333,1
"11",11,22,1
"12",14,14.6666666666667,1
"13",15,15,1
"14",16,12.3333333333333,1
"15",17,14.6666666666667,1
"16",18,19.6666666666667,1
"17",19,20.3333333333333,1
"18",20,18.6666666666667,1
"19",21,17.6666666666667,1
"20",22,19.3333333333333,1
"21",23,19.6666666666667,1
"22",28,16.3333333333333,1
"23",29,15.6666666666667,1
"24",30,15,1
"25",31,24.6666666666667,1
"26",32,10.3333333333333,0
"27",33,2.33333333333333,0
"28",34,1.33333333333333,0
"29",35,1.33333333333333,0
"30",36,1.66666666666667,0
"31",37,1.33333333333333,0
"32",38,2.33333333333333,0
"33",39,2.66666666666667,0
"34",40,1.66666666666667,0
"35",41,2,0
"36",42,2,0
"37",43,2.33333333333333,0
"38",44,2.33333333333333,0
"39",45,1.66666666666667,0
"40",46,2.33333333333333,0
"41",47,2.33333333333333,0
"42",56,1.66666666666667,0
"43",57,2,0
"44",58,1.66666666666667,0
"45",59,2.33333333333333,0
"46",60,1.66666666666667,0
"47",61,2,0
"48",62,2,0
"49",63,2,0
