"","CellNumbers","CellLifetime","CellFate"
"1",1,36.6666666666667,1
"2",2,24.3333333333333,1
"3",3,20.3333333333333,1
"4",4,20,1
"5",5,19.6666666666667,1
"6",6,24.3333333333333,1
"7",7,16.6666666666667,1
"8",8,25.6666666666667,1
"9",9,23.6666666666667,1
"10",10,24.6666666666667,1
"11",11,22.3333333333333,1
"12",12,28,1
"13",13,21,1
"14",14,35,1
"15",15,25,1
"16",16,18.3333333333333,1
"17",17,21.3333333333333,1
"18",18,21,1
"19",19,19,1
"20",20,24.6666666666667,1
"21",21,22.3333333333333,1
"22",22,23.6666666666667,1
"23",23,21.3333333333333,1
"24",24,27,1
"25",25,25,1
"26",26,27.3333333333333,1
"27",27,25.3333333333333,1
"28",28,27.3333333333333,1
"29",29,23.3333333333333,1
"30",30,17.6666666666667,1
"31",31,15.6666666666667,1
"32",32,2,0
"33",33,2,0
"34",34,1.66666666666667,0
"35",35,1.33333333333333,0
"36",36,1.66666666666667,0
"37",37,2,0
"38",38,3.66666666666667,0
"39",39,2.33333333333333,0
"40",40,1.66666666666667,0
"41",41,1.66666666666667,0
"42",42,2,0
"43",43,2,0
"44",44,0.666666666666667,0
"45",45,1,0
"46",46,4.66666666666667,0
"47",47,3.66666666666667,0
"48",48,2.33333333333333,0
"49",49,2.33333333333333,0
"50",50,2,0
"51",51,2,0
"52",52,3,0
"53",53,2.66666666666667,0
"54",54,5.33333333333333,0
"55",55,4.66666666666667,0
"56",56,2,0
"57",57,3,0
"58",58,2,0
"59",59,2.66666666666667,0
"60",60,1.66666666666667,0
"61",61,2,0
"62",62,2.33333333333333,0
"63",63,2.66666666666667,0
