"","CellNumbers","CellLifetime","CellFate"
"1",1,54.3333333333333,1
"2",2,26,1
"3",3,17.6666666666667,1
"4",4,20.6666666666667,1
"5",5,22.3333333333333,1
"6",6,14,1
"7",7,15.3333333333333,1
"8",8,18.6666666666667,1
"9",9,17.6666666666667,1
"10",10,19.6666666666667,1
"11",11,19.3333333333333,1
"12",12,20.6666666666667,1
"13",13,6.66666666666667,1
"14",14,16,1
"15",15,15.6666666666667,1
"16",16,22.6666666666667,1
"17",17,20.3333333333333,1
"18",18,15,1
"19",19,15,1
"20",20,15.6666666666667,1
"21",21,15.3333333333333,1
"22",22,21,1
"23",23,29.3333333333333,1
"24",24,14.3333333333333,1
"25",25,21,1
"26",26,15,1
"27",27,6.33333333333333,1
"28",28,13.3333333333333,1
"29",29,13.6666666666667,1
"30",30,16.3333333333333,1
"31",31,16,1
"32",32,2.33333333333333,0
"33",33,2.66666666666667,0
"34",34,3,0
"35",35,2,0
"36",36,1.66666666666667,0
"37",37,2,0
"38",38,2.33333333333333,0
"39",39,2,0
"40",40,3.66666666666667,0
"41",41,4,0
"42",42,4,0
"43",43,4.66666666666667,0
"44",44,1.66666666666667,0
"45",45,2,0
"46",46,1.66666666666667,0
"47",47,2,0
"48",48,2.33333333333333,0
"49",49,2.33333333333333,0
"50",50,2,0
"51",51,2,0
"52",52,2.33333333333333,0
"53",53,2,0
"54",54,2.66666666666667,0
"55",55,2.33333333333333,0
"56",56,1.66666666666667,0
"57",57,2,0
"58",58,1.66666666666667,0
"59",59,2.33333333333333,0
"60",60,2.33333333333333,0
"61",61,2.66666666666667,0
"62",62,2,0
"63",63,2,0
