"","CellNumbers","CellLifetime","CellFate"
"1",1,73.6666666666667,1
"2",2,30.6666666666667,1
"3",3,33,1
"4",4,44.3333333333333,1
"5",5,37.6666666666667,1
"6",6,26.3333333333333,1
"7",7,24.6666666666667,1
"8",8,16.3333333333333,0
"9",9,16.3333333333333,0
"10",10,23,0
"11",11,23,0
"12",12,16.3333333333333,1
"13",13,24.3333333333333,1
"14",14,20.6666666666667,1
"15",15,20.3333333333333,1
"16",24,15.6666666666667,0
"17",25,15.6666666666667,0
"18",26,7.66666666666667,0
"19",27,7.66666666666667,0
"20",28,13,0
"21",29,13,0
"22",30,13.3333333333333,0
"23",31,13.3333333333333,0
