"","CellNumbers","CellLifetime","CellFate"
"1",1,31.6666666666667,1
"2",2,36.6666666666667,1
"3",3,34.6666666666667,1
"4",4,23.6666666666667,1
"5",5,40,1
"6",6,31,1
"7",7,41,1
"8",8,19.6666666666667,1
"9",9,21.6666666666667,1
"10",10,26,1
"11",11,27,0
"12",12,34,1
"13",13,27.3333333333333,1
"14",14,28,0
"15",15,28,0
"16",16,19,1
"17",17,20,1
"18",18,21.6666666666667,0
"19",19,21.6666666666667,0
"20",20,1,0
"21",21,1,0
"22",24,4,0
"23",25,4,0
"24",26,10.6666666666667,0
"25",27,10.6666666666667,0
"26",32,4.66666666666667,0
"27",33,4.66666666666667,0
"28",34,3.66666666666667,0
"29",35,3.66666666666667,0
