"","CellNumbers","CellLifetime","CellFate"
"1",1,57,1
"2",2,21,1
"3",3,22.6666666666667,1
"4",4,17,1
"5",5,18.6666666666667,1
"6",6,16,1
"7",7,16.6666666666667,1
"8",8,13,1
"9",9,14,1
"10",10,15.6666666666667,1
"11",11,16,1
"12",12,15.3333333333333,1
"13",13,15.3333333333333,1
"14",14,14.3333333333333,1
"15",15,15.3333333333333,1
"16",16,13.3333333333333,1
"17",17,23,1
"18",18,15.3333333333333,1
"19",19,14,1
"20",20,15.3333333333333,1
"21",21,15.6666666666667,1
"22",22,12.6666666666667,1
"23",23,13.6666666666667,1
"24",24,16.3333333333333,1
"25",25,16.6666666666667,1
"26",26,16,1
"27",27,16.3333333333333,1
"28",28,14.3333333333333,1
"29",29,13,1
"30",30,13.3333333333333,1
"31",31,15,1
"32",32,6.66666666666667,0
"33",33,5,0
"34",34,2.66666666666667,0
"35",35,2.33333333333333,0
"36",36,3,0
"37",37,4,0
"38",38,3,0
"39",39,10.3333333333333,0
"40",40,2.66666666666667,0
"41",41,2.66666666666667,0
"42",42,0.333333333333333,0
"43",43,0.333333333333333,0
"44",44,3,0
"45",45,3.66666666666667,0
"46",46,2.66666666666667,0
"47",47,2.33333333333333,0
"48",48,1,0
"49",49,1,0
"50",50,2,0
"51",51,0.666666666666667,0
"52",52,1,0
"53",53,1.33333333333333,0
"54",54,1,0
"55",55,1.33333333333333,0
"56",56,7.33333333333333,0
"57",57,5.66666666666667,0
"58",58,8,0
"59",59,9,0
"60",60,8,0
"61",61,8.66666666666667,0
"62",62,6.66666666666667,0
"63",63,7.66666666666667,0
