"","CellNumbers","CellLifetime","CellFate"
"1",1,59,1
"2",2,42.3333333333333,1
"3",3,36,1
"4",4,22.6666666666667,1
"5",5,22.3333333333333,1
"6",6,24.6666666666667,1
"7",7,23.3333333333333,1
"8",8,27,1
"9",9,26.3333333333333,2
"10",10,19,1
"11",11,29.6666666666667,1
"12",12,34.3333333333333,2
"13",13,27.3333333333333,1
"14",14,32,1
"15",15,29.3333333333333,1
"16",16,3.33333333333333,0
"17",17,4,2
"18",20,13,0
"19",21,15,0
"20",22,1.66666666666667,2
"21",23,2.33333333333333,2
"22",26,4,0
"23",27,5.33333333333333,0
"24",28,6,0
"25",29,7,0
"26",30,2,0
"27",31,1,0
