"","CellNumbers","CellLifetime","CellFate"
"1",1,56.6666666666667,1
"2",2,22.3333333333333,1
"3",3,21.3333333333333,1
"4",4,25,1
"5",5,29.6666666666667,1
"6",6,25.6666666666667,1
"7",7,23.6666666666667,1
"8",8,23,1
"9",9,22,1
"10",10,31.3333333333333,1
"11",11,21.6666666666667,1
"12",12,30,1
"13",13,34,1
"14",14,26,1
"15",15,24.3333333333333,1
"16",16,22.3333333333333,0
"17",17,7,0
"18",18,2.66666666666667,0
"19",19,2.66666666666667,0
"20",20,3.66666666666667,2
"21",21,2.66666666666667,0
"22",22,2.66666666666667,0
"23",23,1.33333333333333,0
"24",24,2.66666666666667,0
"25",25,1.33333333333333,0
"26",26,2.33333333333333,0
"27",27,1.66666666666667,0
"28",28,3.66666666666667,0
"29",29,1.33333333333333,0
"30",30,4.33333333333333,0
"31",31,1.33333333333333,0
