"","CellNumbers","CellLifetime","CellFate"
"1",1,50.3333333333333,1
"2",2,28.3333333333333,1
"3",3,31,1
"4",4,32.6666666666667,1
"5",5,27.3333333333333,1
"6",6,20,1
"7",7,27.3333333333333,1
"8",8,49,1
"9",9,46.3333333333333,1
"10",10,23.6666666666667,1
"11",11,35,1
"12",12,21.3333333333333,1
"13",13,20.6666666666667,1
"14",14,20.3333333333333,1
"15",15,51.6666666666667,1
"16",16,4.66666666666667,0
"17",17,4.66666666666667,0
"18",18,1.66666666666667,0
"19",19,1.66666666666667,0
"20",20,1.66666666666667,0
"21",21,2.66666666666667,0
"22",22,3.66666666666667,0
"23",23,2.66666666666667,0
"24",24,4.66666666666667,0
"25",25,2.66666666666667,0
"26",26,3.66666666666667,0
"27",27,3.66666666666667,0
"28",28,1.33333333333333,0
"29",29,2,0
"30",30,1.33333333333333,0
"31",31,1.33333333333333,0
