"","CellNumbers","CellLifetime","CellFate"
"1",1,42,1
"2",2,21,1
"3",3,25,1
"4",4,22.6666666666667,1
"5",5,41,1
"6",6,26.3333333333333,1
"7",7,50.3333333333333,1
"8",8,37.6666666666667,1
"9",9,21.6666666666667,1
"10",10,28,1
"11",11,39.6666666666667,1
"12",12,23.3333333333333,1
"13",13,14.6666666666667,1
"14",14,18.6666666666667,2
"15",15,21.3333333333333,0
"16",16,10.6666666666667,1
"17",17,30,2
"18",18,29.3333333333333,1
"19",19,24.6666666666667,1
"20",20,4.33333333333333,0
"21",21,4.33333333333333,0
"22",22,1.66666666666667,0
"23",23,1.66666666666667,0
"24",24,28.6666666666667,1
"25",25,17.3333333333333,1
"26",26,28.3333333333333,1
"27",27,22.6666666666667,1
"28",32,4,0
"29",33,3.33333333333333,0
"30",36,2,0
"31",37,2,0
"32",38,2,0
"33",39,3,0
"34",48,1,0
"35",49,6.66666666666667,0
"36",50,3,2
"37",51,3.66666666666667,0
"38",52,1,0
"39",53,1.66666666666667,0
"40",54,2.33333333333333,0
"41",55,2.33333333333333,0
