"","CellNumbers","CellLifetime","CellFate"
"1",1,43.3333333333333,1
"2",2,21,1
"3",3,20.3333333333333,1
"4",4,29.3333333333333,1
"5",5,30,1
"6",6,42.3333333333333,1
"7",7,29,1
"8",8,39.3333333333333,1
"9",9,24.6666666666667,1
"10",10,29,0
"11",11,19.6666666666667,1
"12",12,21.6666666666667,0
"13",13,19.3333333333333,0
"14",14,23,1
"15",15,24,1
"16",16,8,0
"17",18,4.33333333333333,0
"18",19,4.33333333333333,0
"19",22,9.66666666666667,0
"20",23,8.66666666666667,0
"21",28,7.33333333333333,0
"22",29,7.33333333333333,0
"23",30,7.66666666666667,0
"24",31,7,0
