"","CellNumbers","CellLifetime","CellFate"
"1",1,45,1
"2",2,18,1
"3",3,18.3333333333333,1
"4",4,17.3333333333333,1
"5",5,30.6666666666667,1
"6",6,29.6666666666667,1
"7",7,21.3333333333333,1
"8",8,19.6666666666667,1
"9",9,18.3333333333333,1
"10",10,23.6666666666667,1
"11",11,24,1
"12",12,21.6666666666667,1
"13",13,19.3333333333333,1
"14",14,33.6666666666667,1
"15",15,26.6666666666667,1
"16",16,1,0
"17",17,1,0
"18",18,9,0
"19",19,1.66666666666667,0
"20",20,1,0
"21",21,1,0
"22",22,0.333333333333333,0
"23",23,0.333333333333333,0
"24",24,0.666666666666667,0
"25",25,1.33333333333333,0
"26",26,1.33333333333333,0
"27",27,2,0
"28",28,0.666666666666667,0
"29",29,1,0
"30",30,1,0
"31",31,0.666666666666667,0
