"","CellNumbers","CellLifetime","CellFate"
"1",1,39,1
"2",2,27.3333333333333,1
"3",3,27.3333333333333,1
"4",4,32,1
"5",5,31,2
"6",6,36.3333333333333,1
"7",7,34.6666666666667,1
"8",8,26,1
"9",9,33.3333333333333,1
"10",12,28.6666666666667,1
"11",13,20.3333333333333,1
"12",14,25,1
"13",15,26,1
"14",16,16.3333333333333,1
"15",17,17,1
"16",18,22.3333333333333,0
"17",19,15.3333333333333,1
"18",24,21.3333333333333,0
"19",25,19,0
"20",26,17.6666666666667,1
"21",27,20,1
"22",28,23.3333333333333,0
"23",29,15.6666666666667,1
"24",30,15,1
"25",31,19.3333333333333,0
"26",32,1,0
"27",33,0.666666666666667,0
"28",34,1,0
"29",35,1.33333333333333,0
"30",38,2.66666666666667,0
"31",39,1.66666666666667,0
"32",52,3.33333333333333,0
"33",53,3.66666666666667,0
"34",54,2,0
"35",55,2,0
"36",58,1.66666666666667,0
"37",59,1.66666666666667,0
"38",60,2.33333333333333,0
"39",61,2,0
