"","CellNumbers","CellLifetime","CellFate"
"1",1,45.6666666666667,1
"2",2,27,1
"3",3,22.3333333333333,1
"4",4,21,1
"5",5,26,1
"6",6,34.6666666666667,1
"7",7,46,1
"8",8,36,1
"9",9,33.3333333333333,1
"10",10,32,1
"11",11,44.6666666666667,1
"12",12,3.33333333333333,2
"13",13,29,1
"14",14,23.3333333333333,1
"15",15,22.6666666666667,1
"16",16,16,2
"17",17,22.3333333333333,2
"18",18,23,1
"19",19,31.3333333333333,1
"20",20,34.3333333333333,0
"21",21,34,1
"22",22,7,2
"23",23,3,2
"24",26,3.33333333333333,2
"25",27,32.6666666666667,2
"26",28,2.33333333333333,2
"27",29,22.3333333333333,2
"28",30,25,1
"29",31,28.3333333333333,0
"30",36,15,0
"31",37,15,0
"32",38,3.66666666666667,2
"33",39,6.66666666666667,0
"34",60,3.33333333333333,0
"35",61,3.33333333333333,0
