"","CellNumbers","CellLifetime","CellFate"
"1",1,45.6666666666667,1
"2",2,20.6666666666667,1
"3",3,16.3333333333333,1
"4",4,17.6666666666667,1
"5",5,20.6666666666667,1
"6",6,23,1
"7",7,24.3333333333333,1
"8",8,25.3333333333333,1
"9",9,21.6666666666667,1
"10",10,27.3333333333333,2
"11",11,24.3333333333333,1
"12",12,47.3333333333333,1
"13",13,22.6666666666667,1
"14",14,21,1
"15",15,19.6666666666667,1
"16",16,7.66666666666667,2
"17",17,7.66666666666667,2
"18",18,25,1
"19",19,19.3333333333333,1
"20",22,18,1
"21",23,25,2
"22",24,3.33333333333333,0
"23",25,5,0
"24",26,14,1
"25",27,19.3333333333333,1
"26",28,11.3333333333333,0
"27",29,16,0
"28",30,30,1
"29",31,9.33333333333333,2
"30",36,9,0
"31",37,5.66666666666667,0
"32",38,8,0
"33",39,12.6666666666667,0
"34",44,25.6666666666667,2
"35",45,7.66666666666667,2
"36",52,1.33333333333333,0
"37",53,1.66666666666667,0
"38",54,0.666666666666667,0
"39",55,1.66666666666667,0
"40",60,1.33333333333333,0
"41",61,2.33333333333333,0
